Episode,Reward
0,-278.374416
1,-278.374416
2,-278.374416
3,-278.374416
4,-278.374416
5,-278.374416
6,-278.374416
7,-278.374416
8,-278.374416
9,-278.374416
10,-278.374416
11,-278.374416
12,-278.374416
13,-278.374416
14,-278.374416
15,-278.374416
16,-278.374416
17,-278.374416
18,-278.374416
19,-278.374416
20,-278.374416
21,-278.374416
22,-278.374416
23,-278.374416
24,-278.374416
25,-278.374416
26,-278.374416
27,-278.374416
28,-278.374416
29,-278.374416
30,-278.374416
31,-278.374416
32,-278.374416
33,-278.374416
34,-278.374416
35,-278.374416
36,-278.374416
37,-278.374416
38,-278.374416
39,-278.374416
40,-278.374416
41,-278.374416
42,-278.374416
43,-278.374416
44,-278.374416
45,-278.374416
46,-278.374416
47,-278.374416
48,-278.374416
49,-278.374416
50,-278.374416
51,-278.374416
52,-278.374416
53,-278.374416
54,-278.374416
55,-278.374416
56,-278.374416
57,-278.374416
58,-278.374416
59,-278.374416
60,-278.374416
61,-278.374416
62,-278.374416
63,-278.374416
64,-278.374416
65,-278.374416
66,-278.374416
67,-278.374416
68,-278.374416
69,-278.374416
70,-278.374416
71,-278.374416
72,-278.374416
73,-278.374416
74,-278.374416
75,-278.374416
76,-278.374416
77,-278.374416
78,-278.374416
79,-278.374416
80,-278.374416
81,-278.374416
82,-278.374416
83,-278.374416
84,-278.374416
85,-278.374416
86,-278.374416
87,-278.374416
88,-278.374416
89,-278.374416
90,-278.374416
91,-278.374416
92,-278.374416
93,-278.374416
94,-278.374416
95,-278.374416
96,-278.374416
97,-278.374416
98,-278.374416
99,-278.374416
100,-278.374416
101,-278.374416
102,-278.374416
103,-278.374416
104,-278.374416
105,-278.374416
106,-278.374416
107,-278.374416
108,-278.374416
109,-278.374416
110,-278.374416
111,-278.374416
112,-278.374416
113,-278.374416
114,-278.374416
115,-278.374416
116,-278.374416
117,-278.374416
118,-278.374416
119,-278.374416
120,-278.374416
121,-278.374416
122,-278.374416
123,-278.374416
124,-278.374416
125,-278.374416
126,-278.374416
127,-278.374416
128,-278.374416
129,-278.374416
130,-278.374416
131,-278.374416
132,-278.374416
133,-278.374416
134,-278.374416
135,-278.374416
136,-278.374416
137,-278.374416
138,-278.374416
139,-278.374416
140,-278.374416
141,-278.374416
142,-278.374416
143,-278.374416
144,-278.374416
145,-278.374416
146,-278.374416
147,-278.374416
148,-278.374416
149,-278.374416
150,-278.374416
151,-278.374416
152,-278.374416
153,-278.374416
154,-278.374416
155,-278.374416
156,-278.374416
157,-464.89703
158,-464.89703
159,-464.89703
160,-464.89703
161,-464.89703
162,-464.89703
163,-464.89703
164,-464.89703
165,-464.89703
166,-464.89703
167,-464.89703
168,-464.89703
169,-464.89703
170,-464.89703
171,-464.89703
172,-464.89703
173,-464.89703
174,-464.89703
175,-464.89703
176,-464.89703
177,-464.89703
178,-464.89703
179,-464.89703
180,-464.89703
181,-464.89703
182,-464.89703
183,-464.89703
184,-464.89703
185,-464.89703
186,-464.89703
187,-464.89703
188,-464.89703
189,-464.89703
190,-464.89703
191,-464.89703
192,-464.89703
193,-464.89703
194,-464.89703
195,-464.89703
196,-464.89703
197,-464.89703
198,-464.89703
199,-464.89703
200,-464.89703
201,-464.89703
202,-464.89703
203,-464.89703
204,-464.89703
205,-464.89703
206,-464.89703
207,-464.89703
208,-464.89703
209,-464.89703
210,-464.89703
211,-464.89703
212,-464.89703
213,-464.89703
214,-464.89703
215,-464.89703
216,-633.578295
217,-633.578295
218,-633.578295
219,-633.578295
220,-633.578295
221,-633.578295
222,-633.578295
223,-633.578295
224,-633.578295
225,-633.578295
226,-633.578295
227,-633.578295
228,-633.578295
229,-633.578295
230,-633.578295
231,-633.578295
232,-633.578295
233,-633.578295
234,-633.578295
235,-633.578295
236,-633.578295
237,-633.578295
238,-633.578295
239,-633.578295
240,-633.578295
241,-633.578295
242,-633.578295
243,-633.578295
244,-633.578295
245,-633.578295
246,-633.578295
247,-633.578295
248,-633.578295
249,-633.578295
250,-633.578295
251,-633.578295
252,-633.578295
253,-633.578295
254,-633.578295
255,-633.578295
256,-633.578295
257,-633.578295
258,-633.578295
259,-633.578295
260,-633.578295
261,-633.578295
262,-633.578295
263,-633.578295
264,-633.578295
265,-633.578295
266,-633.578295
267,-633.578295
268,-633.578295
269,-633.578295
270,-633.578295
271,-633.578295
272,-633.578295
273,-633.578295
274,-633.578295
275,-216.673283
276,-216.673283
277,-216.673283
278,-216.673283
279,-216.673283
280,-216.673283
281,-216.673283
282,-216.673283
283,-216.673283
284,-216.673283
285,-216.673283
286,-216.673283
287,-216.673283
288,-216.673283
289,-216.673283
290,-216.673283
291,-216.673283
292,-216.673283
293,-216.673283
294,-216.673283
295,-216.673283
296,-216.673283
297,-216.673283
298,-216.673283
299,-216.673283
300,-216.673283
301,-216.673283
302,-216.673283
303,-216.673283
304,-216.673283
305,-216.673283
306,-216.673283
307,-216.673283
308,-216.673283
309,-216.673283
310,-216.673283
311,-216.673283
312,-216.673283
313,-216.673283
314,-216.673283
315,-216.673283
316,-216.673283
317,-216.673283
318,-216.673283
319,-216.673283
320,-216.673283
321,-216.673283
322,-216.673283
323,-216.673283
324,-216.673283
325,-216.673283
326,-216.673283
327,-216.673283
328,-216.673283
329,-216.673283
330,-216.673283
331,-216.673283
332,-216.673283
333,-216.673283
334,-242.969786
335,-242.969786
336,-242.969786
337,-242.969786
338,-242.969786
339,-242.969786
340,-242.969786
341,-242.969786
342,-242.969786
343,-242.969786
344,-242.969786
345,-242.969786
346,-242.969786
347,-242.969786
348,-242.969786
349,-242.969786
350,-242.969786
351,-242.969786
352,-242.969786
353,-242.969786
354,-242.969786
355,-242.969786
356,-242.969786
357,-242.969786
358,-242.969786
359,-242.969786
360,-242.969786
361,-242.969786
362,-242.969786
363,-242.969786
364,-242.969786
365,-242.969786
366,-242.969786
367,-242.969786
368,-242.969786
369,-242.969786
370,-242.969786
371,-242.969786
372,-242.969786
373,-242.969786
374,-242.969786
375,-242.969786
376,-242.969786
377,-242.969786
378,-242.969786
379,-242.969786
380,-242.969786
381,-242.969786
382,-242.969786
383,-242.969786
384,-242.969786
385,-242.969786
386,-242.969786
387,-242.969786
388,-242.969786
389,-242.969786
390,-242.969786
391,-242.969786
392,-242.969786
393,-165.854742
394,-165.854742
395,-165.854742
396,-165.854742
397,-165.854742
398,-165.854742
399,-165.854742
400,-165.854742
401,-165.854742
402,-165.854742
403,-165.854742
404,-165.854742
405,-165.854742
406,-165.854742
407,-165.854742
408,-165.854742
409,-165.854742
410,-165.854742
411,-165.854742
412,-165.854742
413,-165.854742
414,-165.854742
415,-165.854742
416,-165.854742
417,-165.854742
418,-165.854742
419,-165.854742
420,-165.854742
421,-165.854742
422,-165.854742
423,-165.854742
424,-165.854742
425,-165.854742
426,-165.854742
427,-165.854742
428,-165.854742
429,-165.854742
430,-165.854742
431,-165.854742
432,-165.854742
433,-165.854742
434,-165.854742
435,-165.854742
436,-165.854742
437,-165.854742
438,-165.854742
439,-165.854742
440,-165.854742
441,-165.854742
442,-165.854742
443,-165.854742
444,-165.854742
445,-165.854742
446,-165.854742
447,-165.854742
448,-165.854742
449,-165.854742
450,-165.854742
451,-165.854742
452,-190.594038
453,-190.594038
454,-190.594038
455,-190.594038
456,-190.594038
457,-190.594038
458,-190.594038
459,-190.594038
460,-190.594038
461,-190.594038
462,-190.594038
463,-190.594038
464,-190.594038
465,-190.594038
466,-190.594038
467,-190.594038
468,-190.594038
469,-190.594038
470,-190.594038
471,-190.594038
472,-190.594038
473,-190.594038
474,-190.594038
475,-190.594038
476,-190.594038
477,-190.594038
