Episode,Reward
0,-430.93069
1,-430.93069
2,-430.93069
3,-430.93069
4,-430.93069
5,-430.93069
6,-430.93069
7,-430.93069
8,-430.93069
9,-430.93069
10,-430.93069
11,-430.93069
12,-430.93069
13,-430.93069
14,-430.93069
15,-430.93069
16,-430.93069
17,-430.93069
18,-430.93069
19,-430.93069
20,-430.93069
21,-430.93069
22,-430.93069
23,-430.93069
24,-430.93069
25,-430.93069
26,-430.93069
27,-430.93069
28,-430.93069
29,-430.93069
30,-430.93069
31,-430.93069
32,-430.93069
33,-430.93069
34,-430.93069
35,-430.93069
36,-430.93069
37,-430.93069
38,-430.93069
39,-430.93069
40,-430.93069
41,-430.93069
42,-430.93069
43,-430.93069
44,-430.93069
45,-430.93069
46,-430.93069
47,-430.93069
48,-430.93069
49,-430.93069
50,-430.93069
51,-430.93069
52,-430.93069
53,-430.93069
54,-430.93069
55,-430.93069
56,-430.93069
57,-430.93069
58,-430.93069
59,-430.93069
60,-430.93069
61,-430.93069
62,-430.93069
63,-430.93069
64,-430.93069
65,-430.93069
66,-430.93069
67,-430.93069
68,-430.93069
69,-430.93069
70,-430.93069
71,-430.93069
72,-430.93069
73,-430.93069
74,-430.93069
75,-430.93069
76,-430.93069
77,-430.93069
78,-430.93069
79,-430.93069
80,-430.93069
81,-430.93069
82,-430.93069
83,-430.93069
84,-430.93069
85,-430.93069
86,-430.93069
87,-430.93069
88,-430.93069
89,-430.93069
90,-430.93069
91,-430.93069
92,-430.93069
93,-430.93069
94,-430.93069
95,-430.93069
96,-430.93069
97,-430.93069
98,-430.93069
99,-430.93069
100,-430.93069
101,-430.93069
102,-430.93069
103,-430.93069
104,-430.93069
105,-430.93069
106,-430.93069
107,-430.93069
108,-430.93069
109,-430.93069
110,-430.93069
111,-430.93069
112,-430.93069
113,-430.93069
114,-430.93069
115,-430.93069
116,-430.93069
117,-430.93069
118,-430.93069
119,-430.93069
120,-430.93069
121,-430.93069
122,-430.93069
123,-430.93069
124,-430.93069
125,-430.93069
126,-430.93069
127,-430.93069
128,-430.93069
129,-430.93069
130,-430.93069
131,-430.93069
132,-430.93069
133,-430.93069
134,-430.93069
135,-430.93069
136,-430.93069
137,-430.93069
138,-430.93069
139,-430.93069
140,-430.93069
141,-430.93069
142,-430.93069
143,-430.93069
144,-430.93069
145,-430.93069
146,-430.93069
147,-430.93069
148,-430.93069
149,-430.93069
150,-430.93069
151,-430.93069
152,-430.93069
153,-430.93069
154,-430.93069
155,-430.93069
156,-430.93069
157,-430.93069
158,-430.93069
159,-430.93069
160,-430.93069
161,-430.93069
162,-430.93069
163,-430.93069
164,-430.93069
165,-430.93069
166,-430.93069
167,-430.93069
168,-430.93069
169,-430.93069
170,-430.93069
171,-430.93069
172,-430.93069
173,-430.93069
174,-430.93069
175,-430.93069
176,-430.93069
177,-430.93069
178,-430.93069
179,-430.93069
180,-430.93069
181,-430.93069
182,-430.93069
183,-430.93069
184,-430.93069
185,-430.93069
186,-430.93069
187,-430.93069
188,-430.93069
189,-430.93069
190,-430.93069
191,-430.93069
192,-430.93069
193,-430.93069
194,-430.93069
195,-430.93069
196,-430.93069
197,-430.93069
198,-430.93069
199,-430.93069
200,-430.93069
201,-430.93069
202,-430.93069
203,-430.93069
204,-430.93069
205,-430.93069
206,-430.93069
207,-430.93069
208,-430.93069
209,-430.93069
210,-430.93069
211,-430.93069
212,-430.93069
213,-430.93069
214,-430.93069
215,-430.93069
216,-430.93069
217,-430.93069
218,-1200.265053
219,-1200.265053
220,-1200.265053
221,-1200.265053
222,-1200.265053
223,-1200.265053
224,-1200.265053
225,-1200.265053
226,-1200.265053
227,-1200.265053
228,-1200.265053
229,-1200.265053
230,-1200.265053
231,-1200.265053
232,-1200.265053
233,-1200.265053
234,-1200.265053
235,-1200.265053
236,-1200.265053
237,-1200.265053
238,-1200.265053
239,-1200.265053
240,-1200.265053
241,-1200.265053
242,-1200.265053
243,-1200.265053
244,-1200.265053
245,-1200.265053
246,-1200.265053
247,-1200.265053
248,-1200.265053
249,-1200.265053
250,-1200.265053
251,-1200.265053
252,-1200.265053
253,-1200.265053
254,-1200.265053
255,-1200.265053
256,-1200.265053
257,-1200.265053
258,-1200.265053
259,-1200.265053
260,-1200.265053
261,-1200.265053
262,-1200.265053
263,-1200.265053
264,-1200.265053
265,-1200.265053
266,-1200.265053
267,-1200.265053
268,-1200.265053
269,-1200.265053
270,-1200.265053
271,-1200.265053
272,-1200.265053
273,-1200.265053
274,-1200.265053
275,-1200.265053
276,-1200.265053
277,-1200.265053
278,-1200.265053
279,-1200.265053
280,-1200.265053
281,-1200.265053
282,-1200.265053
283,-1200.265053
284,-1200.265053
285,-1200.265053
286,-1200.265053
287,-1200.265053
288,-1200.265053
289,-1200.265053
290,-1200.265053
291,-1200.265053
292,-1200.265053
293,-1200.265053
294,-1200.265053
295,-1200.265053
296,-1200.265053
297,-1200.265053
298,-1200.265053
299,-1200.265053
300,-1200.265053
301,-1200.265053
302,-1200.265053
303,-1200.265053
304,-1200.265053
305,-1200.265053
306,-1200.265053
307,-1200.265053
308,-1200.265053
309,-1200.265053
310,-1200.265053
311,-1200.265053
312,-1200.265053
313,-1200.265053
314,-1200.265053
315,-1200.265053
316,-1200.265053
317,-1200.265053
318,-1200.265053
319,-1200.265053
320,-1200.265053
321,-1200.265053
